config,seed,stage,accuracy,runtime
Config. 5,0,1,0.6781234741210938,0.041889500000252156
Config. 5,0,2,0.6781234741210938,0.07737659999838797
Config. 5,0,3,0.6781234741210938,0.10884359999545268
Config. 5,0,4,0.6781234741210938,0.13113099999463884
Config. 5,0,5,0.6781234741210938,0.18971529999544146
Config. 5,0,6,0.6781234741210938,0.2544653999975708
Config. 5,0,7,0.6781234741210938,0.310889500000485
Config. 5,0,8,0.6781234741210938,0.38060720000066794
Config. 5,0,9,0.6781234741210938,0.45885390000330517
Config. 5,0,10,0.6781234741210938,0.5139416000019992
Config. 5,0,11,0.6781234741210938,0.6005952000014076
Config. 5,0,12,0.6781234741210938,0.6566789999997127
Config. 5,0,13,0.6781234741210938,0.7177374000020791
Config. 5,0,14,0.6781234741210938,0.8099037000029057
Config. 5,0,15,0.6781234741210938,0.907393300003605
Config. 5,0,16,0.6781234741210938,0.9968030000018189
Config. 5,0,17,0.6781234741210938,1.1103441000013845
Config. 5,0,18,0.6781234741210938,1.2168357000009564
Config. 5,0,19,0.6781234741210938,1.3424010000017006
Config. 5,0,20,0.6781234741210938,1.4839344000029087
Config. 5,1,1,0.5561370849609375,0.011771500001486856
Config. 5,1,2,0.5561370849609375,0.025690400001622038
Config. 5,1,3,0.5561370849609375,0.05014350000055856
Config. 5,1,4,0.5561370849609375,0.07635650000156602
Config. 5,1,5,0.5561370849609375,0.09863150000091991
Config. 5,1,6,0.5561370849609375,0.129095000000234
Config. 5,1,7,0.5561370849609375,0.17614300000059302
Config. 5,1,8,0.5561370849609375,0.22123170000122627
Config. 5,1,9,0.5561370849609375,0.24837530000149854
Config. 5,1,10,0.5561370849609375,0.2984016000009433
Config. 5,1,11,0.5561370849609375,0.3472947000009299
Config. 5,1,12,0.5561370849609375,0.39361339999959455
Config. 5,1,13,0.5561370849609375,0.4475404000004346
Config. 5,1,14,0.5561370849609375,0.5210723000018334
Config. 5,1,15,0.5561370849609375,0.5801067000029434
Config. 5,1,16,0.5561370849609375,0.6434332000026188
Config. 5,1,17,0.5561370849609375,0.7016933000049903
Config. 5,1,18,0.5561370849609375,0.7489474000067275
Config. 5,1,19,0.5561370849609375,0.8008069000097748
Config. 5,1,20,0.5561370849609375,0.8795354000103544
Config. 5,2,1,0.56646728515625,0.01216260000001057
Config. 5,2,2,0.56646728515625,0.02926320000187843
Config. 5,2,3,0.56646728515625,0.05997589999969932
Config. 5,2,4,0.56646728515625,0.0852298999998311
Config. 5,2,5,0.56646728515625,0.1051212000020314
Config. 5,2,6,0.56646728515625,0.13470850000157952
Config. 5,2,7,0.56646728515625,0.16687410000304226
Config. 5,2,8,0.56646728515625,0.21425420000377926
Config. 5,2,9,0.56646728515625,0.2510394000055385
Config. 5,2,10,0.56646728515625,0.30013720000351896
Config. 5,2,11,0.56646728515625,0.3562162000016542
Config. 5,2,12,0.56646728515625,0.40714760000264505
Config. 5,2,13,0.56646728515625,0.46018200000253273
Config. 5,2,14,0.56646728515625,0.5282651000015903
Config. 5,2,15,0.56646728515625,0.5807039999999688
Config. 5,2,16,0.56646728515625,0.6496102999990399
Config. 5,2,17,0.56646728515625,0.6921694999982719
Config. 5,2,18,0.56646728515625,0.7410392999954638
Config. 5,2,19,0.56646728515625,0.7867995999949926
Config. 5,2,20,0.56646728515625,0.8637192999958643
Config. 5,3,1,0.5986404418945312,0.018466800000169314
Config. 5,3,2,0.5986404418945312,0.05096550000234856
Config. 5,3,3,0.5986404418945312,0.07943040000100154
Config. 5,3,4,0.5986404418945312,0.12387289999969653
Config. 5,3,5,0.5986404418945312,0.1746344000021054
Config. 5,3,6,0.5986404418945312,0.22872010000355658
Config. 5,3,7,0.5986404418945312,0.2867279000056442
Config. 5,3,8,0.5986404418945312,0.3539535000054457
Config. 5,3,9,0.5986404418945312,0.42024400000445894
Config. 5,3,10,0.5986404418945312,0.47896810000383994
Config. 5,3,11,0.5986404418945312,0.5578785000034259
Config. 5,3,12,0.5986404418945312,0.6169394000025932
Config. 5,3,13,0.5986404418945312,0.7045703000039794
Config. 5,3,14,0.5986404418945312,0.7873495000021649
Config. 5,3,15,0.5986404418945312,0.8890572999989672
Config. 5,3,16,0.5986404418945312,0.9877576999970188
Config. 5,3,17,0.5986404418945312,1.0575235999967845
Config. 5,3,18,0.5986404418945312,1.1723256999976002
Config. 5,3,19,0.5986404418945312,1.2749039999980596
Config. 5,3,20,0.5986404418945312,1.3663624999971944
Config. 5,4,1,0.6891326904296875,0.022040399999241345
Config. 5,4,2,0.6891326904296875,0.05281339999783086
Config. 5,4,3,0.6891326904296875,0.07038289999763947
Config. 5,4,4,0.6891326904296875,0.11494679999668733
Config. 5,4,5,0.6891326904296875,0.15550909999365103
Config. 5,4,6,0.6891326904296875,0.2145481999941694
Config. 5,4,7,0.6891326904296875,0.27150829999663983
Config. 5,4,8,0.6891326904296875,0.3331716999964556
Config. 5,4,9,0.6891326904296875,0.40758529999948223
Config. 5,4,10,0.6891326904296875,0.4527187999992748
Config. 5,4,11,0.6891326904296875,0.5141350000012608
Config. 5,4,12,0.6891326904296875,0.5841412000008859
Config. 5,4,13,0.6891326904296875,0.6498385000013513
Config. 5,4,14,0.6891326904296875,0.7369923000042036
Config. 5,4,15,0.6891326904296875,0.7913534000035725
Config. 5,4,16,0.6891326904296875,0.8877377000062552
Config. 5,4,17,0.6891326904296875,1.0018791000074998
Config. 5,4,18,0.6891326904296875,1.1138452000050165
Config. 5,4,19,0.6891326904296875,1.1971974000043701
Config. 5,4,20,0.6891326904296875,1.325283700003638
Config. 5,5,1,0.5602569580078125,0.0270304000005126
Config. 5,5,2,0.5602569580078125,0.06472200000280282
Config. 5,5,3,0.5602569580078125,0.10322550000273623
Config. 5,5,4,0.5602569580078125,0.14388530000360333
Config. 5,5,5,0.5602569580078125,0.18348640000112937
Config. 5,5,6,0.5602569580078125,0.23510430000169436
Config. 5,5,7,0.5602569580078125,0.2750489000027301
Config. 5,5,8,0.5602569580078125,0.3181280000026163
Config. 5,5,9,0.5602569580078125,0.37858670000423444
Config. 5,5,10,0.5602569580078125,0.4385292000042682
Config. 5,5,11,0.5602569580078125,0.5055442000011681
Config. 5,5,12,0.5602569580078125,0.5748841000022367
Config. 5,5,13,0.5602569580078125,0.664137000003393
Config. 5,5,14,0.5602569580078125,0.7287468000031367
Config. 5,5,15,0.5602569580078125,0.8002143000012438
Config. 5,5,16,0.5602569580078125,0.8805115000031947
Config. 5,5,17,0.5602569580078125,0.9695672000052582
Config. 5,5,18,0.5602569580078125,1.0418514000084542
Config. 5,5,19,0.5602569580078125,1.1132649000101082
Config. 5,5,20,0.5602569580078125,1.200312600009056
Config. 5,6,1,0.599090576171875,0.03226939999876777
Config. 5,6,2,0.599090576171875,0.05079169999953592
