method,B,S-junta,K,train_size,test_size,test_accuracy_mean,test_accuracy_std,test_accuracy_mean_pm_std,train_runtime_s_mean,train_runtime_s_std,train_runtime_s_mean_pm_std
Algorithm 3 (stage 1),21,10,8,2097152,131072,0.7045089721679687,0.008562304591785076,0.705 +- 0.009,40.32815211499692,1.6440392968846398,40.33 +- 1.64
Algorithm 3 (stage 5),21,10,8,2097152,131072,0.8287265777587891,0.009318189272449836,0.829 +- 0.009,244.45770091501328,9.210575446399778,244.46 +- 9.21
Algorithm 3 (stage 20),21,10,8,2097152,131072,0.9075721740722656,0.009180484358822863,0.908 +- 0.009,1593.9718131200382,53.49974271230892,1593.97 +- 53.50
Flat Espresso (ambient B partial TT),21,10,8,2097152,131072,nan,nan,NA,nan,nan,NA
