config,seed,stage,accuracy,runtime
Config. 2,0,1,0.640625,0.006805000000895234
Config. 2,0,2,0.734375,0.013578200003394159
Config. 2,0,3,0.828125,0.01783140000407002
Config. 2,0,4,0.859375,0.027253100004600128
Config. 2,0,5,0.890625,0.0323344000025827
Config. 2,0,6,0.890625,0.037301900003512856
Config. 2,0,7,0.890625,0.04300830000283895
Config. 2,0,8,0.890625,0.04990370000450639
Config. 2,0,9,0.890625,0.06574970000292524
Config. 2,0,10,0.890625,0.07744660000389558
Config. 2,0,11,0.890625,0.09747250000509666
Config. 2,0,12,0.890625,0.11854870000388473
Config. 2,0,13,0.890625,0.13574950000474928
Config. 2,0,14,0.890625,0.15200730000287876
Config. 2,0,15,0.890625,0.17527930000505876
Config. 2,0,16,0.890625,0.1963140000043495
Config. 2,0,17,0.890625,0.21756390000518877
Config. 2,0,18,0.890625,0.23168870000517927
Config. 2,0,19,0.890625,0.2599008000033791
Config. 2,0,20,0.890625,0.2744103000004543
Config. 2,1,1,0.71875,0.005350100000214297
Config. 2,1,2,0.78125,0.009021100002428284
Config. 2,1,3,0.84375,0.01270920000388287
Config. 2,1,4,0.875,0.016999300005409168
Config. 2,1,5,0.875,0.02652410000519012
Config. 2,1,6,0.875,0.03633070000432781
Config. 2,1,7,0.875,0.04202080000322894
Config. 2,1,8,0.875,0.04883210000116378
Config. 2,1,9,0.875,0.06522100000074715
Config. 2,1,10,0.875,0.08047240000087186
Config. 2,1,11,0.875,0.09009320000041043
Config. 2,1,12,0.875,0.10047690000283183
Config. 2,1,13,0.875,0.11953360000188695
Config. 2,1,14,0.875,0.14225420000002487
Config. 2,1,15,0.875,0.16712769999867305
Config. 2,1,16,0.875,0.19295149999743444
Config. 2,1,17,0.875,0.20780289999675006
Config. 2,1,18,0.875,0.22742919999654987
Config. 2,1,19,0.875,0.2512823999968532
Config. 2,1,20,0.875,0.2754166999984591
Config. 2,2,1,0.796875,0.0032824999980221037
Config. 2,2,2,0.828125,0.010301399997842964
Config. 2,2,3,0.828125,0.018621999995957594
Config. 2,2,4,0.859375,0.0267013999982737
Config. 2,2,5,0.859375,0.035615900000266265
Config. 2,2,6,0.859375,0.04540880000058678
Config. 2,2,7,0.859375,0.05903770000077202
Config. 2,2,8,0.859375,0.06732300000294344
Config. 2,2,9,0.859375,0.08109360000526067
Config. 2,2,10,0.859375,0.0985640000035346
Config. 2,2,11,0.859375,0.11699170000429149
Config. 2,2,12,0.859375,0.13150940000559785
Config. 2,2,13,0.859375,0.14102040000580018
Config. 2,2,14,0.859375,0.15869000000384403
Config. 2,2,15,0.859375,0.18272020000222255
Config. 2,2,16,0.859375,0.1936416000025929
Config. 2,2,17,0.859375,0.20580720000361907
Config. 2,2,18,0.859375,0.2239023000038287
Config. 2,2,19,0.859375,0.2449847000061709
Config. 2,2,20,0.859375,0.2673242000055325
Config. 2,3,1,0.71875,0.005303699999785749
Config. 2,3,2,0.8125,0.01165459999901941
Config. 2,3,3,0.8125,0.0178561999964586
Config. 2,3,4,0.8125,0.02851359999840497
Config. 2,3,5,0.8125,0.033051499998691725
Config. 2,3,6,0.8125,0.04519879999861587
Config. 2,3,7,0.8125,0.056634099997609155
Config. 2,3,8,0.8125,0.07138089999716613
Config. 2,3,9,0.8125,0.08736529999805498
Config. 2,3,10,0.8125,0.10571499999787193
Config. 2,3,11,0.8125,0.12414759999956004
Config. 2,3,12,0.8125,0.1414833999988332
Config. 2,3,13,0.8125,0.16424089999782154
Config. 2,3,14,0.8125,0.18756919999941601
Config. 2,3,15,0.8125,0.21167479999712668
Config. 2,3,16,0.8125,0.23638179999761633
Config. 2,3,17,0.8125,0.2513381999997364
Config. 2,3,18,0.8125,0.26491449999957695
Config. 2,3,19,0.8125,0.28247360000023036
Config. 2,3,20,0.8125,0.3113006999992649
Config. 2,4,1,0.828125,0.005275899999105604
Config. 2,4,2,0.859375,0.01184579999971902
Config. 2,4,3,0.859375,0.020484799999394454
Config. 2,4,4,0.859375,0.024302100002387306
Config. 2,4,5,0.859375,0.03247160000319127
Config. 2,4,6,0.859375,0.042383000003610505
Config. 2,4,7,0.859375,0.04955310000514146
Config. 2,4,8,0.859375,0.06403070000305888
Config. 2,4,9,0.859375,0.07226160000209347
Config. 2,4,10,0.859375,0.08033290000093984
Config. 2,4,11,0.859375,0.08815669999967213
Config. 2,4,12,0.859375,0.10799689999839757
Config. 2,4,13,0.859375,0.12467610000021523
Config. 2,4,14,0.859375,0.1348790000010922
Config. 2,4,15,0.859375,0.14535950000208686
Config. 2,4,16,0.859375,0.16181000000506174
Config. 2,4,17,0.859375,0.17968890000338433
Config. 2,4,18,0.859375,0.1921840000031807
Config. 2,4,19,0.859375,0.22135430000344058
Config. 2,4,20,0.859375,0.242221000000427
Config. 2,5,1,0.734375,0.005584800001088297
Config. 2,5,2,0.828125,0.012258900002052542
Config. 2,5,3,0.828125,0.020200500002829358
Config. 2,5,4,0.828125,0.027641100001346786
Config. 2,5,5,0.828125,0.03611460000320221
Config. 2,5,6,0.828125,0.04443390000596992
Config. 2,5,7,0.828125,0.05222820000562933
Config. 2,5,8,0.828125,0.06433560000368743
Config. 2,5,9,0.828125,0.07249240000601276
Config. 2,5,10,0.828125,0.08002380000834819
Config. 2,5,11,0.828125,0.08845940000901464
Config. 2,5,12,0.828125,0.09776070000953041
Config. 2,5,13,0.828125,0.11689850000766455
Config. 2,5,14,0.828125,0.1382830000075046
Config. 2,5,15,0.828125,0.15923760000805487
Config. 2,5,16,0.828125,0.1826501000105054
Config. 2,5,17,0.828125,0.2086221000099613
Config. 2,5,18,0.828125,0.22091490001184866
Config. 2,5,19,0.828125,0.236200600011216
Config. 2,5,20,0.828125,0.2851024000119651
Config. 2,6,1,0.703125,0.0054555999995500315
Config. 2,6,2,0.734375,0.01254010000047856
Config. 2,6,3,0.765625,0.017690399999992223
Config. 2,6,4,0.828125,0.022340499999700114
Config. 2,6,5,0.828125,0.02831999999762047
Config. 2,6,6,0.828125,0.037178899998252746
Config. 2,6,7,0.828125,0.0429772999996203
Config. 2,6,8,0.828125,0.05667599999651429
Config. 2,6,9,0.828125,0.06396549999772105
Config. 2,6,10,0.828125,0.07456420000016806
Config. 2,6,11,0.828125,0.08441339999990305
Config. 2,6,12,0.828125,0.09676519999993616
Config. 2,6,13,0.828125,0.10581119999915245
Config. 2,6,14,0.828125,0.11917969999922207
Config. 2,6,15,0.828125,0.1344723999973212
Config. 2,6,16,0.828125,0.15907379999771365
Config. 2,6,17,0.828125,0.18090999999913038
Config. 2,6,18,0.828125,0.19425720000072033
Config. 2,6,19,0.828125,0.22058470000047237
Config. 2,6,20,0.828125,0.2346462999994401
Config. 2,7,1,0.734375,0.0038534999985131435
Config. 2,7,2,0.796875,0.0110181999989436
Config. 2,7,3,0.796875,0.01623730000210344
Config. 2,7,4,0.828125,0.021137500003533205
Config. 2,7,5,0.859375,0.03378840000368655
Config. 2,7,6,0.859375,0.04648770000130753
Config. 2,7,7,0.859375,0.052959199998440454
Config. 2,7,8,0.859375,0.06657129999803146
Config. 2,7,9,0.859375,0.07896949999849312
Config. 2,7,10,0.859375,0.09457479999764473
Config. 2,7,11,0.859375,0.10261239999817917
Config. 2,7,12,0.859375,0.11465880000105244
Config. 2,7,13,0.859375,0.13624809999964782
Config. 2,7,14,0.859375,0.1569974000012735
Config. 2,7,15,0.859375,0.16731890000301064
Config. 2,7,16,0.859375,0.18850320000274223
Config. 2,7,17,0.859375,0.1999392000034277
Config. 2,7,18,0.859375,0.2245872000021336
Config. 2,7,19,0.859375,0.2408973000019614
Config. 2,7,20,0.859375,0.2640940000019327
Config. 2,8,1,0.734375,0.0053157000002101995
Config. 2,8,2,0.734375,0.008482400000502821
Config. 2,8,3,0.765625,0.01401849999820115
Config. 2,8,4,0.765625,0.01788029999806895
Config. 2,8,5,0.765625,0.02793059999748948
Config. 2,8,6,0.765625,0.032896899996558204
Config. 2,8,7,0.765625,0.04145649999554735
Config. 2,8,8,0.765625,0.04751579999719979
Config. 2,8,9,0.765625,0.05799049999768613
Config. 2,8,10,0.765625,0.07117999999900348
Config. 2,8,11,0.765625,0.08647869999913382
Config. 2,8,12,0.765625,0.096421599999303
Config. 2,8,13,0.765625,0.10612830000172835
Config. 2,8,14,0.765625,0.11896870000418858
Config. 2,8,15,0.765625,0.13921220000338508
Config. 2,8,16,0.765625,0.16068270000687335
Config. 2,8,17,0.765625,0.1731657000054838
Config. 2,8,18,0.765625,0.1960423000055016
Config. 2,8,19,0.765625,0.22497370000564842
Config. 2,8,20,0.765625,0.2509747000040079
Config. 2,9,1,0.703125,0.004622000000381377
Config. 2,9,2,0.796875,0.010732599999755621
Config. 2,9,3,0.828125,0.014379600001120707
Config. 2,9,4,0.828125,0.018256800001836382
Config. 2,9,5,0.828125,0.022693800001434283
Config. 2,9,6,0.828125,0.02763039999990724
Config. 2,9,7,0.828125,0.038616300000285264
Config. 2,9,8,0.828125,0.0519081999991613
Config. 2,9,9,0.828125,0.06556389999968815
Config. 2,9,10,0.828125,0.08230419999745209
Config. 2,9,11,0.828125,0.09505949999947916
Config. 2,9,12,0.828125,0.10515730000042822
Config. 2,9,13,0.828125,0.12576390000322135
Config. 2,9,14,0.828125,0.14473340000404278
Config. 2,9,15,0.828125,0.15888730000369833
Config. 2,9,16,0.828125,0.18702160000248114
Config. 2,9,17,0.828125,0.20732760000464623
Config. 2,9,18,0.828125,0.22698530000343453
Config. 2,9,19,0.828125,0.2516765000036685
Config. 2,9,20,0.828125,0.2698402000060014
Config. 2,10,1,0.6875,0.00535189999936847
Config. 2,10,2,0.8125,0.011017099997843616
Config. 2,10,3,0.84375,0.018604199998662807
Config. 2,10,4,0.875,0.022804699998232536
Config. 2,10,5,0.875,0.031224699996528216
Config. 2,10,6,0.875,0.036976199997297954
Config. 2,10,7,0.875,0.04257579999830341
Config. 2,10,8,0.875,0.05532079999829875
Config. 2,10,9,0.875,0.06360969999877852
Config. 2,10,10,0.875,0.08052339999994729
Config. 2,10,11,0.875,0.09573100000125123
Config. 2,10,12,0.875,0.10821850000138511
Config. 2,10,13,0.875,0.1270598000010068
Config. 2,10,14,0.875,0.15000910000162548
Config. 2,10,15,0.875,0.17114909999872907
Config. 2,10,16,0.875,0.19611729999814997
Config. 2,10,17,0.875,0.2163096999975096
Config. 2,10,18,0.875,0.23999439999897731
Config. 2,10,19,0.875,0.25299960000120336
Config. 2,10,20,0.875,0.27491319999899133
Config. 2,11,1,0.75,0.002706000002945075
Config. 2,11,2,0.75,0.00920570000380394
Config. 2,11,3,0.8125,0.01622010000210139
Config. 2,11,4,0.8125,0.020878900002571754
Config. 2,11,5,0.8125,0.026279400000930764
Config. 2,11,6,0.8125,0.03123779999805265
Config. 2,11,7,0.8125,0.0443643999969936
Config. 2,11,8,0.8125,0.058332999997219304
Config. 2,11,9,0.8125,0.06536049999704119
Config. 2,11,10,0.8125,0.07478489999630256
Config. 2,11,11,0.8125,0.0903502999972261
Config. 2,11,12,0.8125,0.10095169999476639
Config. 2,11,13,0.8125,0.11844809999456629
Config. 2,11,14,0.8125,0.12786649999543442
Config. 2,11,15,0.8125,0.13859319999392028
Config. 2,11,16,0.8125,0.16073099999630358
Config. 2,11,17,0.8125,0.18419349999385304
Config. 2,11,18,0.8125,0.20906799999283976
Config. 2,11,19,0.8125,0.23785769999449258
Config. 2,11,20,0.8125,0.26620259999253904
Config. 2,12,1,0.75,0.005254299998341594
Config. 2,12,2,0.78125,0.011242599997785874
Config. 2,12,3,0.78125,0.01922529999501421
Config. 2,12,4,0.78125,0.028200799995829584
Config. 2,12,5,0.78125,0.03273869999611634
Config. 2,12,6,0.78125,0.037650699996447656
Config. 2,12,7,0.78125,0.04909139999654144
Config. 2,12,8,0.78125,0.06503709999742568
Config. 2,12,9,0.78125,0.07969319999756408
Config. 2,12,10,0.78125,0.09385789999942062
Config. 2,12,11,0.78125,0.11223519999839482
Config. 2,12,12,0.78125,0.1276956000001519
