config,stage,accuracy_mean,accuracy_std,ci95_lower,ci95_upper,runtime_mean,runtime_std
Config. 4,1,0.6928688049316406,0.026306732076782448,0.6805570168306657,0.7051805930326155,0.026313099999424595,0.0049285911999266034
Config. 4,2,0.7385055541992187,0.032315056317048174,0.7233818161125066,0.7536292922859308,0.05507729999935691,0.007176081849885829
Config. 4,3,0.7549785614013672,0.03445413145584032,0.7388537168387916,0.7711034059639428,0.0944924949995766,0.01210457594662982
Config. 4,4,0.7622226715087891,0.03984015170341119,0.7435771208470254,0.7808682221705527,0.1356045599994104,0.016614286373160297
Config. 4,5,0.7621944427490235,0.039799582910433694,0.7435678786486157,0.7808210068494312,0.18479490999907283,0.021329351434679497
Config. 4,6,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.24100576500022725,0.028351965118770823
Config. 4,7,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.30353901000034966,0.03552213865035533
Config. 4,8,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.36627411000044957,0.039724209304399426
Config. 4,9,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.43821579500145164,0.046842878158305935
Config. 4,10,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.5205598050015396,0.04839623243065257
Config. 4,11,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.599687090001862,0.04802279240878665
Config. 4,12,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.6850850750022801,0.049181276199738715
Config. 4,13,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.7901846500020838,0.052979923182436404
Config. 4,14,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.8879321150023316,0.0625698389303952
Config. 4,15,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,0.9972734000028141,0.06580178032274978
Config. 4,16,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,1.1087162700028785,0.07269811088045393
Config. 4,17,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,1.2340632250030468,0.08424948389325868
Config. 4,18,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,1.3606210600033593,0.08827418374177413
Config. 4,19,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,1.4980407250035568,0.09896531225832159
Config. 4,20,0.7622127532958984,0.03982585691182077,0.743573892725648,0.7808516138661489,1.6440478050042657,0.11088972944965171
