config,seed,stage,accuracy,runtime
Config. 9,0,1,0.549896240234375,0.4226643000001786
Config. 9,0,2,0.5638275146484375,0.9078258000008645
Config. 9,0,3,0.5752182006835938,1.3981080000012298
Config. 9,0,4,0.5818634033203125,1.9494103000033647
Config. 9,0,5,0.5866012573242188,2.5587800000030256
Config. 9,0,6,0.59136962890625,3.266284800003632
Config. 9,0,7,0.5935134887695312,3.976170500005537
Config. 9,0,8,0.5935134887695312,4.804417700008344
Config. 9,0,9,0.5935134887695312,5.778734000006807
Config. 9,0,10,0.5935134887695312,6.534686600007262
Config. 9,0,11,0.5935134887695312,7.777294800009258
Config. 9,0,12,0.5935134887695312,8.809667400008038
Config. 9,0,13,0.5935134887695312,9.830953400007274
Config. 9,0,14,0.5935134887695312,10.946100600009231
Config. 9,0,15,0.5935134887695312,12.283692900011374
Config. 9,0,16,0.5935134887695312,13.534161500014307
Config. 9,0,17,0.5935134887695312,15.405506200015225
Config. 9,0,18,0.5935134887695312,17.173720800012234
Config. 9,0,19,0.5935134887695312,18.71180040001127
Config. 9,0,20,0.5935134887695312,20.219182600012573
Config. 9,1,1,0.549560546875,0.39167839999936405
Config. 9,1,2,0.561279296875,0.8734143000001495
Config. 9,1,3,0.5729598999023438,1.4005352999993192
Config. 9,1,4,0.57891845703125,2.101505899998301
Config. 9,1,5,0.5845184326171875,2.7712360999976227
Config. 9,1,6,0.5883331298828125,3.4952976999993552
Config. 9,1,7,0.5922317504882812,4.445929100002104
Config. 9,1,8,0.5922317504882812,5.285792800001218
Config. 9,1,9,0.5922317504882812,6.0506032000012056
Config. 9,1,10,0.5922317504882812,7.097046900002169
Config. 9,1,11,0.5922317504882812,8.417038600004162
Config. 9,1,12,0.5922317504882812,9.63455750000503
Config. 9,1,13,0.5922317504882812,10.947143400004279
Config. 9,1,14,0.5922317504882812,12.677932600006898
Config. 9,1,15,0.5922317504882812,13.990408800007572
Config. 9,1,16,0.5922317504882812,15.461890400008997
Config. 9,1,17,0.5922317504882812,17.0482937000088
Config. 9,1,18,0.5922317504882812,18.653200400007336
Config. 9,1,19,0.5922317504882812,20.042933800006722
Config. 9,1,20,0.5922317504882812,21.487319300005765
Config. 9,2,1,0.5503997802734375,0.4179072000006272
Config. 9,2,2,0.5628890991210938,0.9161017000005813
Config. 9,2,3,0.5693740844726562,1.5523485999983677
Config. 9,2,4,0.5779342651367188,2.167924099998345
Config. 9,2,5,0.5825042724609375,2.831365199999709
