config,seed,stage,accuracy,runtime
Config. 1,0,1,0.69921875,0.010298599998350255
Config. 1,0,2,0.76953125,0.022434399998019217
Config. 1,0,3,0.78515625,0.036117099996772595
Config. 1,0,4,0.80078125,0.05316349999702652
Config. 1,0,5,0.80859375,0.06867879999845172
Config. 1,0,6,0.80859375,0.08400289999553934
Config. 1,0,7,0.80859375,0.09560019999844371
Config. 1,0,8,0.80859375,0.10347289999845088
Config. 1,0,9,0.80859375,0.12174489999961224
Config. 1,0,10,0.80859375,0.1421769000007771
Config. 1,0,11,0.80859375,0.15205920000153128
Config. 1,0,12,0.80859375,0.17196429999967222
Config. 1,0,13,0.80859375,0.20155800000065938
Config. 1,0,14,0.80859375,0.23437180000109947
Config. 1,0,15,0.80859375,0.27286450000246987
Config. 1,0,16,0.80859375,0.3066845000030298
Config. 1,0,17,0.80859375,0.338162400003057
Config. 1,0,18,0.80859375,0.36030260000552516
Config. 1,0,19,0.80859375,0.38986600000498584
Config. 1,0,20,0.80859375,0.42878570000175387
Config. 1,1,1,0.6640625,0.009699099999124883
Config. 1,1,2,0.7578125,0.023867500000051223
Config. 1,1,3,0.796875,0.03702580000026501
Config. 1,1,4,0.8125,0.051794999999401625
Config. 1,1,5,0.828125,0.06790290000208188
Config. 1,1,6,0.84375,0.08230140000159736
Config. 1,1,7,0.859375,0.10125330000300892
Config. 1,1,8,0.859375,0.12053430000378285
Config. 1,1,9,0.859375,0.13317290000486537
Config. 1,1,10,0.859375,0.15582170000197948
Config. 1,1,11,0.859375,0.17199880000043777
Config. 1,1,12,0.859375,0.196992200002569
Config. 1,1,13,0.859375,0.223291700000118
Config. 1,1,14,0.859375,0.25396399999954156
Config. 1,1,15,0.859375,0.2767712999993819
Config. 1,1,16,0.859375,0.30743470000015805
Config. 1,1,17,0.859375,0.3358274000020174
Config. 1,1,18,0.859375,0.3760628000018187
Config. 1,1,19,0.859375,0.3944909000019834
Config. 1,1,20,0.859375,0.42980200000238256
Config. 1,2,1,0.69921875,0.009528499998850748
Config. 1,2,2,0.74609375,0.01968010000200593
Config. 1,2,3,0.77734375,0.032606000004307134
Config. 1,2,4,0.80859375,0.04373010000199429
Config. 1,2,5,0.80859375,0.05294270000013057
Config. 1,2,6,0.81640625,0.07113219999882858
Config. 1,2,7,0.82421875,0.09167249999882188
Config. 1,2,8,0.83984375,0.11682999999902677
Config. 1,2,9,0.85546875,0.12774379999973462
Config. 1,2,10,0.86328125,0.15348530000119354
Config. 1,2,11,0.86328125,0.175721200001135
Config. 1,2,12,0.86328125,0.2031198000004224
Config. 1,2,13,0.86328125,0.21877539999695728
Config. 1,2,14,0.86328125,0.2431626999969012
Config. 1,2,15,0.86328125,0.2586178999954427
Config. 1,2,16,0.86328125,0.2935470999946119
Config. 1,2,17,0.86328125,0.3265544999958365
Config. 1,2,18,0.86328125,0.34695669999564416
Config. 1,2,19,0.86328125,0.3842999999978929
Config. 1,2,20,0.86328125,0.4245457999968494
Config. 1,3,1,0.703125,0.009294300001783995
Config. 1,3,2,0.7734375,0.020027500002470333
Config. 1,3,3,0.78125,0.025905600003170548
Config. 1,3,4,0.796875,0.03666050000174437
Config. 1,3,5,0.8046875,0.051557700004195794
Config. 1,3,6,0.8203125,0.06855220000215922
Config. 1,3,7,0.8203125,0.08504000000175438
Config. 1,3,8,0.8203125,0.10330830000020796
Config. 1,3,9,0.8203125,0.11566049999964889
Config. 1,3,10,0.8203125,0.13575300000229618
Config. 1,3,11,0.8203125,0.15607580000141752
Config. 1,3,12,0.8203125,0.1821927000019059
Config. 1,3,13,0.8203125,0.21221800000057556
Config. 1,3,14,0.8203125,0.24024040000222158
Config. 1,3,15,0.8203125,0.2640409000014188
Config. 1,3,16,0.8203125,0.28901000000041677
Config. 1,3,17,0.8203125,0.32152230000065174
Config. 1,3,18,0.8203125,0.36059620000378345
Config. 1,3,19,0.8203125,0.3964497000015399
Config. 1,3,20,0.8203125,0.4362406000000192
Config. 1,4,1,0.6953125,0.0121024000000034
Config. 1,4,2,0.765625,0.024930899999162648
Config. 1,4,3,0.7890625,0.03799279999657301
Config. 1,4,4,0.828125,0.04659969999556779
Config. 1,4,5,0.8515625,0.05674019999787561
Config. 1,4,6,0.8515625,0.07286689999818918
Config. 1,4,7,0.8515625,0.09062659999835887
Config. 1,4,8,0.8515625,0.103952899997239
Config. 1,4,9,0.8515625,0.12541309999505756
Config. 1,4,10,0.8515625,0.14968889999727253
Config. 1,4,11,0.8515625,0.18056959999739775
Config. 1,4,12,0.8515625,0.21108869999807212
Config. 1,4,13,0.8515625,0.2404971999967529
Config. 1,4,14,0.8515625,0.27073429999654763
Config. 1,4,15,0.8515625,0.2996160999937274
Config. 1,4,16,0.8515625,0.3347624999914842
Config. 1,4,17,0.8515625,0.377015099991695
Config. 1,4,18,0.8515625,0.41683189999093884
Config. 1,4,19,0.8515625,0.4535548999920138
Config. 1,4,20,0.8515625,0.49234669998986647
Config. 1,5,1,0.734375,0.010641400000167778
Config. 1,5,2,0.78125,0.021742600001743995
Config. 1,5,3,0.828125,0.03390930000387016
Config. 1,5,4,0.8515625,0.04832850000457256
Config. 1,5,5,0.859375,0.05906240000331309
Config. 1,5,6,0.859375,0.07821630000398727
Config. 1,5,7,0.8671875,0.10299360000499291
Config. 1,5,8,0.8828125,0.11626620000606636
Config. 1,5,9,0.8828125,0.13902190000590053
Config. 1,5,10,0.8828125,0.16810430000623455
Config. 1,5,11,0.8828125,0.1987764000041352
Config. 1,5,12,0.8828125,0.23029650000535185
Config. 1,5,13,0.8828125,0.25223250000635744
Config. 1,5,14,0.8828125,0.28265390000888146
Config. 1,5,15,0.8828125,0.3111886000078812
Config. 1,5,16,0.8828125,0.34136630001012236
Config. 1,5,17,0.8828125,0.36017770001126337
Config. 1,5,18,0.8828125,0.3986078000125417
Config. 1,5,19,0.8828125,0.443879200014635
Config. 1,5,20,0.8828125,0.4800843000120949
Config. 1,6,1,0.70703125,0.014011999999638647
Config. 1,6,2,0.76953125,0.025821999999607215
Config. 1,6,3,0.78515625,0.04422279999926104
Config. 1,6,4,0.78515625,0.05501879999792436
