config,stage,accuracy_mean,accuracy_std,ci95_lower,ci95_upper,runtime_mean,runtime_std
Config. 8,1,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.031937470000048054,0.006500147259848256
Config. 8,2,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,3,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,4,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,5,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,6,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,7,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,8,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,9,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,10,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,11,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,12,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,13,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,14,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,15,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,16,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,17,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,18,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,19,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
Config. 8,20,0.9927734375,0.005267532939518696,0.9903081845306471,0.995238690469353,0.03439756499938085,0.006443222828008383
