method,B,S-junta,K,tau,train_size,test_size,stages,final_test_accuracy_mean,final_test_accuracy_std,final_test_accuracy_mean_pm_std,train_runtime_s_mean,train_runtime_s_std,train_runtime_s_mean_pm_std,mean_selected_size_mean,mean_selected_size_std
Algorithm 3 (influence top-K),20,15,10,0.0,32768,131072,20,0.6002643585205079,0.007427814016016566,0.600 +- 0.007,23.20529175499969,0.8749969885072517,23.21 +- 0.87,10.0,0.0
Algorithm 3 (random K ablation),20,15,10,0.0,32768,131072,20,0.509130859375,0.0035551243031592527,0.509 +- 0.004,20.998241774999133,1.0054348456950033,21.00 +- 1.01,10.0,0.0
