config,seed,stage,accuracy,runtime
Config. 7,0,1,0.68359375,0.008841100003337488
Config. 7,0,2,0.75390625,0.016581700005190214
Config. 7,0,3,0.75390625,0.01858380000703619
Config. 7,0,4,0.75390625,0.024931200008722953
Config. 7,0,5,0.75390625,0.031846100006077904
Config. 7,0,6,0.75390625,0.03859660000671283
Config. 7,0,7,0.75390625,0.042222800006129546
Config. 7,0,8,0.75390625,0.05348890000823303
Config. 7,0,9,0.75390625,0.06431200000952231
Config. 7,0,10,0.75390625,0.0721247000110452
Config. 7,0,11,0.75390625,0.08362360001046909
Config. 7,0,12,0.75390625,0.08909950001179823
Config. 7,0,13,0.75390625,0.10032070001398097
Config. 7,0,14,0.75390625,0.1151848000154132
Config. 7,0,15,0.75390625,0.12959890001366148
Config. 7,0,16,0.75390625,0.14303980001204764
Config. 7,0,17,0.75390625,0.15119340001183446
Config. 7,0,18,0.75390625,0.15951410001071054
Config. 7,0,19,0.75390625,0.17695960000855848
Config. 7,0,20,0.75390625,0.1976123000094958
Config. 7,1,1,0.68359375,0.007680400001845555
Config. 7,1,2,0.68359375,0.013292200001160381
Config. 7,1,3,0.68359375,0.018196000000898493
Config. 7,1,4,0.68359375,0.023499499999161344
Config. 7,1,5,0.68359375,0.027098999998997897
Config. 7,1,6,0.68359375,0.030362799996510148
Config. 7,1,7,0.68359375,0.03462499999659485
Config. 7,1,8,0.68359375,0.03996059999917634
Config. 7,1,9,0.68359375,0.046058399999310495
Config. 7,1,10,0.68359375,0.052629699999670265
Config. 7,1,11,0.68359375,0.06460429999788175
Config. 7,1,12,0.68359375,0.07611629999883007
Config. 7,1,13,0.68359375,0.09016519999568118
Config. 7,1,14,0.68359375,0.10131519999413285
Config. 7,1,15,0.68359375,0.1141968999945675
Config. 7,1,16,0.68359375,0.20217209999464103
Config. 7,1,17,0.68359375,0.21971089999351534
Config. 7,1,18,0.68359375,0.2382290999921679
Config. 7,1,19,0.68359375,0.25967159999345313
Config. 7,1,20,0.68359375,0.2680106999905547
Config. 7,2,1,0.69140625,0.007757200000924058
Config. 7,2,2,0.68359375,0.014535700003762031
Config. 7,2,3,0.68359375,0.019204400003218325
Config. 7,2,4,0.68359375,0.0216327000016463
Config. 7,2,5,0.68359375,0.02819920000183629
Config. 7,2,6,0.68359375,0.037144600002648076
Config. 7,2,7,0.68359375,0.045734100003755884
Config. 7,2,8,0.68359375,0.05463190000591567
Config. 7,2,9,0.68359375,0.06478530000458704
Config. 7,2,10,0.68359375,0.07302000000345288
Config. 7,2,11,0.68359375,0.08398610000585904
Config. 7,2,12,0.68359375,0.08924660000411677
Config. 7,2,13,0.68359375,0.09468880000713398
Config. 7,2,14,0.68359375,0.10124710001036874
Config. 7,2,15,0.68359375,0.11694730001181597
Config. 7,2,16,0.68359375,0.12342140001055668
Config. 7,2,17,0.68359375,0.13844290000997717
Config. 7,2,18,0.68359375,0.15094470000985893
Config. 7,2,19,0.68359375,0.15891170000759303
Config. 7,2,20,0.68359375,0.16863390000798972
Config. 7,3,1,0.734375,0.006954000000405358
Config. 7,3,2,0.734375,0.010741499998403015
Config. 7,3,3,0.734375,0.012589799996931106
Config. 7,3,4,0.734375,0.016993799996271264
Config. 7,3,5,0.734375,0.022128599994175602
Config. 7,3,6,0.734375,0.024719399993045954
Config. 7,3,7,0.734375,0.03074969999215682
Config. 7,3,8,0.734375,0.037713999994593905
Config. 7,3,9,0.734375,0.044152199996460695
Config. 7,3,10,0.734375,0.051325799995538546
Config. 7,3,11,0.734375,0.05578419999437756
Config. 7,3,12,0.734375,0.059409599994978635
Config. 7,3,13,0.734375,0.06856719999268535
Config. 7,3,14,0.734375,0.07784989999345271
