config,seed,stage,accuracy,runtime
Config. 6,0,1,0.69921875,0.00871250000272994
Config. 6,0,2,0.71484375,0.01836890000049607
Config. 6,0,3,0.73046875,0.027075099998910446
Config. 6,0,4,0.73046875,0.033748099998774705
Config. 6,0,5,0.73046875,0.04019759999937378
Config. 6,0,6,0.73046875,0.04759079999712412
Config. 6,0,7,0.73046875,0.055138899995654356
Config. 6,0,8,0.73046875,0.06460289999449742
Config. 6,0,9,0.73046875,0.07627209999554907
Config. 6,0,10,0.73046875,0.0858308999959263
Config. 6,0,11,0.73046875,0.09813429999485379
Config. 6,0,12,0.73046875,0.11105989999487065
Config. 6,0,13,0.73046875,0.1236229999922216
Config. 6,0,14,0.73046875,0.13760119999278686
Config. 6,0,15,0.73046875,0.15201869999145856
Config. 6,0,16,0.73046875,0.16673149999405723
Config. 6,0,17,0.73046875,0.18476469999586698
Config. 6,0,18,0.73046875,0.20150419999481528
Config. 6,0,19,0.73046875,0.21996479999506846
Config. 6,0,20,0.73046875,0.23688249999759137
Config. 6,1,1,0.671875,0.003619700000854209
Config. 6,1,2,0.734375,0.009097999998630257
Config. 6,1,3,0.734375,0.016887599998881342
Config. 6,1,4,0.7421875,0.026153700000577373
Config. 6,1,5,0.7421875,0.032915499999944586
Config. 6,1,6,0.7421875,0.040423399997962406
Config. 6,1,7,0.7421875,0.04896609999559587
Config. 6,1,8,0.7421875,0.05932179999581422
Config. 6,1,9,0.7421875,0.06338969999706023
Config. 6,1,10,0.7421875,0.07469069999933708
Config. 6,1,11,0.7421875,0.08693710000079591
Config. 6,1,12,0.7421875,0.09878010000102222
Config. 6,1,13,0.7421875,0.11157440000170027
Config. 6,1,14,0.7421875,0.11789169999974547
Config. 6,1,15,0.7421875,0.12413530000048922
Config. 6,1,16,0.7421875,0.1404417999983707
Config. 6,1,17,0.7421875,0.1494046999978309
Config. 6,1,18,0.7421875,0.16529929999887827
Config. 6,1,19,0.7421875,0.18025479999778327
Config. 6,1,20,0.7421875,0.19854560000021593
Config. 6,2,1,0.68359375,0.005407000000559492
Config. 6,2,2,0.72265625,0.011451700003817677
Config. 6,2,3,0.72265625,0.01925650000339374
Config. 6,2,4,0.73046875,0.027092500004073372
Config. 6,2,5,0.73046875,0.029768000007607043
Config. 6,2,6,0.73046875,0.0359173000069859
Config. 6,2,7,0.73046875,0.0427862000069581
Config. 6,2,8,0.73046875,0.0511908000044059
Config. 6,2,9,0.73046875,0.05724520000512712
Config. 6,2,10,0.73046875,0.06203730000561336
Config. 6,2,11,0.73046875,0.0671600000023318
