B,S-junta,K,stages,train_size,test_size,num_seeds,epochs,method,test_accuracy_mean,test_accuracy_std,test_accuracy_mean_pm_std,runtime_s_mean,runtime_s_std,runtime_s_mean_pm_std,total_hidden_neurons_mean_pm_std
23,8,6,20,4000,131072,20,1000,Algorithm 4 exact ReLU (compiled from Algorithm 3),0.6074745178222656,0.04548739073654891,0.607 +- 0.045,1.3345693149902218,0.2602624449489916,1.33 +- 0.26,50.0 +- 8.5
23,8,6,20,4000,131072,20,1000,Trained ReLU MLP (matched architecture),0.9318695068359375,0.1224436479885568,0.932 +- 0.122,44.69358870499855,4.689603510590016,44.69 +- 4.69,50.0 +- 8.5
23,8,6,20,4000,131072,20,1000,Trained Sigmoid MLP (matched architecture),0.7750152587890625,0.110947104219948,0.775 +- 0.111,45.533085274999756,4.1244940098081715,45.53 +- 4.12,50.0 +- 8.5
