config,seed,stage,accuracy,runtime
Config. 3,3,10,0.84375,0.49462599999969825
Config. 3,3,11,0.84375,0.567837700000382
Config. 3,3,12,0.84375,0.646173799999815
Config. 3,3,13,0.84375,0.7049282999978459
Config. 3,3,14,0.84375,0.7979406999984349
Config. 3,3,15,0.84375,0.8696992999975919
Config. 3,3,16,0.84375,0.9954760000000533
Config. 3,3,17,0.84375,1.1181404999988445
Config. 3,3,18,0.84375,1.2411991999979364
Config. 3,3,19,0.84375,1.331331199995475
Config. 3,3,20,0.84375,1.4735442999954103
Config. 3,4,1,0.6875,0.0202657999980147
Config. 3,4,2,0.734375,0.05099559999507619
Config. 3,4,3,0.765625,0.09440809999796329
Config. 3,4,4,0.796875,0.14760129999922356
Config. 3,4,5,0.8203125,0.20955979999780538
Config. 3,4,6,0.828125,0.27355809999789926
Config. 3,4,7,0.84375,0.34033569999519386
Config. 3,4,8,0.8515625,0.42194439999730093
Config. 3,4,9,0.8671875,0.4867962999960582
Config. 3,4,10,0.8671875,0.5602486999960092
Config. 3,4,11,0.8671875,0.6135818999937328
Config. 3,4,12,0.8671875,0.6964087999913318
Config. 3,4,13,0.8671875,0.7845790999926976
Config. 3,4,14,0.8671875,0.8487922999920556
Config. 3,4,15,0.8671875,0.9740260999933525
Config. 3,4,16,0.8671875,1.057103699993604
Config. 3,4,17,0.8671875,1.1782482999915374
Config. 3,4,18,0.8671875,1.2935515999888594
Config. 3,4,19,0.8671875,1.4255044999881648
Config. 3,4,20,0.8671875,1.5199540999892633
Config. 3,5,1,0.7109375,0.01325409999844851
Config. 3,5,2,0.7421875,0.04757969999627676
Config. 3,5,3,0.7734375,0.07133879999673809
Config. 3,5,4,0.7890625,0.10313299999688752
Config. 3,5,5,0.8046875,0.13621749999947497
Config. 3,5,6,0.8203125,0.19191399999908754
Config. 3,5,7,0.828125,0.23912399999971967
Config. 3,5,8,0.8359375,0.29519019999861484
Config. 3,5,9,0.84375,0.3564530999974522
Config. 3,5,10,0.84375,0.409875599994848
Config. 3,5,11,0.84375,0.48918059999414254
Config. 3,5,12,0.84375,0.5440310999947542
Config. 3,5,13,0.84375,0.6558534999930998
Config. 3,5,14,0.84375,0.7568889999929524
Config. 3,5,15,0.84375,0.8774359999952139
Config. 3,5,16,0.84375,0.9994801999928313
Config. 3,5,17,0.84375,1.138301599992701
Config. 3,5,18,0.84375,1.2941725999917253
Config. 3,5,19,0.84375,1.413933799991355
Config. 3,5,20,0.84375,1.5408026999903086
Config. 3,6,1,0.6875,0.013346000003366498
Config. 3,6,2,0.71875,0.04093070000453736
Config. 3,6,3,0.7578125,0.07177490000321995
Config. 3,6,4,0.7890625,0.11641750000126194
Config. 3,6,5,0.8203125,0.15672670000276412
Config. 3,6,6,0.84375,0.21076350000294042
Config. 3,6,7,0.84375,0.27675180000369437
Config. 3,6,8,0.84375,0.32175150000330177
Config. 3,6,9,0.84375,0.3611287000021548
Config. 3,6,10,0.84375,0.4368434000025445
Config. 3,6,11,0.84375,0.507502000004024
Config. 3,6,12,0.84375,0.5986298000061652
Config. 3,6,13,0.84375,0.7297556000048644
Config. 3,6,14,0.84375,0.8479788000040571
Config. 3,6,15,0.84375,0.924486000003526
