method,B,S-junta,K,tau,train_size,test_size,stages,final_test_accuracy_mean,final_test_accuracy_std,final_test_accuracy_mean_pm_std,train_runtime_s_mean,train_runtime_s_std,train_runtime_s_mean_pm_std,mean_selected_size_mean,mean_selected_size_std
Algorithm 3 (influence top-K),12,6,4,0.0,1000,24,20,0.81875,0.10582020916000245,0.819 +- 0.106,3.493544695008313,1.0415405292246542,3.49 +- 1.04,4.0,0.0
Algorithm 3 (random K ablation),12,6,4,0.0,1000,24,20,0.6770833333333334,0.12600110808943737,0.677 +- 0.126,4.624890195007902,1.2803174497783603,4.62 +- 1.28,4.0,0.0
