config,seed,stage,accuracy,runtime
Config. 8,0,1,0.98828125,0.041120399997453205
Config. 8,0,2,0.98828125,0.04352599999765516
Config. 8,0,3,0.98828125,0.04352599999765516
Config. 8,0,4,0.98828125,0.04352599999765516
Config. 8,0,5,0.98828125,0.04352599999765516
Config. 8,0,6,0.98828125,0.04352599999765516
Config. 8,0,7,0.98828125,0.04352599999765516
Config. 8,0,8,0.98828125,0.04352599999765516
Config. 8,0,9,0.98828125,0.04352599999765516
Config. 8,0,10,0.98828125,0.04352599999765516
Config. 8,0,11,0.98828125,0.04352599999765516
Config. 8,0,12,0.98828125,0.04352599999765516
Config. 8,0,13,0.98828125,0.04352599999765516
Config. 8,0,14,0.98828125,0.04352599999765516
Config. 8,0,15,0.98828125,0.04352599999765516
Config. 8,0,16,0.98828125,0.04352599999765516
Config. 8,0,17,0.98828125,0.04352599999765516
Config. 8,0,18,0.98828125,0.04352599999765516
Config. 8,0,19,0.98828125,0.04352599999765516
Config. 8,0,20,0.98828125,0.04352599999765516
Config. 8,1,1,0.99609375,0.03974209999796585
Config. 8,1,2,0.99609375,0.04107479999947827
Config. 8,1,3,0.99609375,0.04107479999947827
Config. 8,1,4,0.99609375,0.04107479999947827
Config. 8,1,5,0.99609375,0.04107479999947827
Config. 8,1,6,0.99609375,0.04107479999947827
Config. 8,1,7,0.99609375,0.04107479999947827
Config. 8,1,8,0.99609375,0.04107479999947827
Config. 8,1,9,0.99609375,0.04107479999947827
Config. 8,1,10,0.99609375,0.04107479999947827
Config. 8,1,11,0.99609375,0.04107479999947827
Config. 8,1,12,0.99609375,0.04107479999947827
Config. 8,1,13,0.99609375,0.04107479999947827
Config. 8,1,14,0.99609375,0.04107479999947827
Config. 8,1,15,0.99609375,0.04107479999947827
Config. 8,1,16,0.99609375,0.04107479999947827
Config. 8,1,17,0.99609375,0.04107479999947827
Config. 8,1,18,0.99609375,0.04107479999947827
Config. 8,1,19,0.99609375,0.04107479999947827
Config. 8,1,20,0.99609375,0.04107479999947827
Config. 8,2,1,0.984375,0.043731199999456294
Config. 8,2,2,0.984375,0.046716899996681605
Config. 8,2,3,0.984375,0.046716899996681605
Config. 8,2,4,0.984375,0.046716899996681605
Config. 8,2,5,0.984375,0.046716899996681605
Config. 8,2,6,0.984375,0.046716899996681605
Config. 8,2,7,0.984375,0.046716899996681605
Config. 8,2,8,0.984375,0.046716899996681605
Config. 8,2,9,0.984375,0.046716899996681605
Config. 8,2,10,0.984375,0.046716899996681605
Config. 8,2,11,0.984375,0.046716899996681605
Config. 8,2,12,0.984375,0.046716899996681605
Config. 8,2,13,0.984375,0.046716899996681605
Config. 8,2,14,0.984375,0.046716899996681605
Config. 8,2,15,0.984375,0.046716899996681605
Config. 8,2,16,0.984375,0.046716899996681605
Config. 8,2,17,0.984375,0.046716899996681605
Config. 8,2,18,0.984375,0.046716899996681605
Config. 8,2,19,0.984375,0.046716899996681605
Config. 8,2,20,0.984375,0.046716899996681605
Config. 8,3,1,0.99609375,0.043810999999550404
Config. 8,3,2,0.99609375,0.04675989999668673
Config. 8,3,3,0.99609375,0.04675989999668673
Config. 8,3,4,0.99609375,0.04675989999668673
Config. 8,3,5,0.99609375,0.04675989999668673
Config. 8,3,6,0.99609375,0.04675989999668673
Config. 8,3,7,0.99609375,0.04675989999668673
Config. 8,3,8,0.99609375,0.04675989999668673
Config. 8,3,9,0.99609375,0.04675989999668673
Config. 8,3,10,0.99609375,0.04675989999668673
Config. 8,3,11,0.99609375,0.04675989999668673
Config. 8,3,12,0.99609375,0.04675989999668673
Config. 8,3,13,0.99609375,0.04675989999668673
Config. 8,3,14,0.99609375,0.04675989999668673
Config. 8,3,15,0.99609375,0.04675989999668673
Config. 8,3,16,0.99609375,0.04675989999668673
Config. 8,3,17,0.99609375,0.04675989999668673
Config. 8,3,18,0.99609375,0.04675989999668673
Config. 8,3,19,0.99609375,0.04675989999668673
Config. 8,3,20,0.99609375,0.04675989999668673
Config. 8,4,1,0.98828125,0.02678370000285213
Config. 8,4,2,0.98828125,0.030230200001824414
Config. 8,4,3,0.98828125,0.030230200001824414
Config. 8,4,4,0.98828125,0.030230200001824414
Config. 8,4,5,0.98828125,0.030230200001824414
Config. 8,4,6,0.98828125,0.030230200001824414
Config. 8,4,7,0.98828125,0.030230200001824414
Config. 8,4,8,0.98828125,0.030230200001824414
Config. 8,4,9,0.98828125,0.030230200001824414
Config. 8,4,10,0.98828125,0.030230200001824414
Config. 8,4,11,0.98828125,0.030230200001824414
Config. 8,4,12,0.98828125,0.030230200001824414
Config. 8,4,13,0.98828125,0.030230200001824414
Config. 8,4,14,0.98828125,0.030230200001824414
Config. 8,4,15,0.98828125,0.030230200001824414
Config. 8,4,16,0.98828125,0.030230200001824414
Config. 8,4,17,0.98828125,0.030230200001824414
Config. 8,4,18,0.98828125,0.030230200001824414
Config. 8,4,19,0.98828125,0.030230200001824414
Config. 8,4,20,0.98828125,0.030230200001824414
Config. 8,5,1,0.99609375,0.02511170000070706
Config. 8,5,2,0.99609375,0.027549599999474594
Config. 8,5,3,0.99609375,0.027549599999474594
Config. 8,5,4,0.99609375,0.027549599999474594
Config. 8,5,5,0.99609375,0.027549599999474594
Config. 8,5,6,0.99609375,0.027549599999474594
Config. 8,5,7,0.99609375,0.027549599999474594
Config. 8,5,8,0.99609375,0.027549599999474594
Config. 8,5,9,0.99609375,0.027549599999474594
Config. 8,5,10,0.99609375,0.027549599999474594
Config. 8,5,11,0.99609375,0.027549599999474594
Config. 8,5,12,0.99609375,0.027549599999474594
Config. 8,5,13,0.99609375,0.027549599999474594
Config. 8,5,14,0.99609375,0.027549599999474594
Config. 8,5,15,0.99609375,0.027549599999474594
Config. 8,5,16,0.99609375,0.027549599999474594
Config. 8,5,17,0.99609375,0.027549599999474594
Config. 8,5,18,0.99609375,0.027549599999474594
Config. 8,5,19,0.99609375,0.027549599999474594
Config. 8,5,20,0.99609375,0.027549599999474594
Config. 8,6,1,1.0,0.03191320000041742
Config. 8,6,2,1.0,0.03311060000123689
Config. 8,6,3,1.0,0.03311060000123689
Config. 8,6,4,1.0,0.03311060000123689
Config. 8,6,5,1.0,0.03311060000123689
Config. 8,6,6,1.0,0.03311060000123689
Config. 8,6,7,1.0,0.03311060000123689
Config. 8,6,8,1.0,0.03311060000123689
Config. 8,6,9,1.0,0.03311060000123689
Config. 8,6,10,1.0,0.03311060000123689
Config. 8,6,11,1.0,0.03311060000123689
Config. 8,6,12,1.0,0.03311060000123689
Config. 8,6,13,1.0,0.03311060000123689
Config. 8,6,14,1.0,0.03311060000123689
Config. 8,6,15,1.0,0.03311060000123689
Config. 8,6,16,1.0,0.03311060000123689
Config. 8,6,17,1.0,0.03311060000123689
Config. 8,6,18,1.0,0.03311060000123689
Config. 8,6,19,1.0,0.03311060000123689
Config. 8,6,20,1.0,0.03311060000123689
Config. 8,7,1,0.99609375,0.03373860000283457
Config. 8,7,2,0.99609375,0.036378100001456914
Config. 8,7,3,0.99609375,0.036378100001456914
Config. 8,7,4,0.99609375,0.036378100001456914
Config. 8,7,5,0.99609375,0.036378100001456914
Config. 8,7,6,0.99609375,0.036378100001456914
Config. 8,7,7,0.99609375,0.036378100001456914
Config. 8,7,8,0.99609375,0.036378100001456914
Config. 8,7,9,0.99609375,0.036378100001456914
Config. 8,7,10,0.99609375,0.036378100001456914
Config. 8,7,11,0.99609375,0.036378100001456914
Config. 8,7,12,0.99609375,0.036378100001456914
Config. 8,7,13,0.99609375,0.036378100001456914
Config. 8,7,14,0.99609375,0.036378100001456914
Config. 8,7,15,0.99609375,0.036378100001456914
Config. 8,7,16,0.99609375,0.036378100001456914
Config. 8,7,17,0.99609375,0.036378100001456914
Config. 8,7,18,0.99609375,0.036378100001456914
Config. 8,7,19,0.99609375,0.036378100001456914
Config. 8,7,20,0.99609375,0.036378100001456914
Config. 8,8,1,0.99609375,0.03546940000160248
Config. 8,8,2,0.99609375,0.038265099999989616
Config. 8,8,3,0.99609375,0.038265099999989616
Config. 8,8,4,0.99609375,0.038265099999989616
Config. 8,8,5,0.99609375,0.038265099999989616
Config. 8,8,6,0.99609375,0.038265099999989616
Config. 8,8,7,0.99609375,0.038265099999989616
Config. 8,8,8,0.99609375,0.038265099999989616
Config. 8,8,9,0.99609375,0.038265099999989616
Config. 8,8,10,0.99609375,0.038265099999989616
Config. 8,8,11,0.99609375,0.038265099999989616
Config. 8,8,12,0.99609375,0.038265099999989616
Config. 8,8,13,0.99609375,0.038265099999989616
Config. 8,8,14,0.99609375,0.038265099999989616
Config. 8,8,15,0.99609375,0.038265099999989616
Config. 8,8,16,0.99609375,0.038265099999989616
Config. 8,8,17,0.99609375,0.038265099999989616
Config. 8,8,18,0.99609375,0.038265099999989616
Config. 8,8,19,0.99609375,0.038265099999989616
Config. 8,8,20,0.99609375,0.038265099999989616
Config. 8,9,1,0.98828125,0.03191510000033304
Config. 8,9,2,0.98828125,0.03402920000007725
Config. 8,9,3,0.98828125,0.03402920000007725
Config. 8,9,4,0.98828125,0.03402920000007725
Config. 8,9,5,0.98828125,0.03402920000007725
Config. 8,9,6,0.98828125,0.03402920000007725
Config. 8,9,7,0.98828125,0.03402920000007725
Config. 8,9,8,0.98828125,0.03402920000007725
Config. 8,9,9,0.98828125,0.03402920000007725
Config. 8,9,10,0.98828125,0.03402920000007725
Config. 8,9,11,0.98828125,0.03402920000007725
Config. 8,9,12,0.98828125,0.03402920000007725
Config. 8,9,13,0.98828125,0.03402920000007725
Config. 8,9,14,0.98828125,0.03402920000007725
Config. 8,9,15,0.98828125,0.03402920000007725
Config. 8,9,16,0.98828125,0.03402920000007725
Config. 8,9,17,0.98828125,0.03402920000007725
Config. 8,9,18,0.98828125,0.03402920000007725
Config. 8,9,19,0.98828125,0.03402920000007725
Config. 8,9,20,0.98828125,0.03402920000007725
Config. 8,10,1,0.9921875,0.02967749999879743
Config. 8,10,2,0.9921875,0.030883799998264294
Config. 8,10,3,0.9921875,0.030883799998264294
Config. 8,10,4,0.9921875,0.030883799998264294
Config. 8,10,5,0.9921875,0.030883799998264294
Config. 8,10,6,0.9921875,0.030883799998264294
Config. 8,10,7,0.9921875,0.030883799998264294
Config. 8,10,8,0.9921875,0.030883799998264294
Config. 8,10,9,0.9921875,0.030883799998264294
Config. 8,10,10,0.9921875,0.030883799998264294
Config. 8,10,11,0.9921875,0.030883799998264294
Config. 8,10,12,0.9921875,0.030883799998264294
Config. 8,10,13,0.9921875,0.030883799998264294
Config. 8,10,14,0.9921875,0.030883799998264294
Config. 8,10,15,0.9921875,0.030883799998264294
Config. 8,10,16,0.9921875,0.030883799998264294
Config. 8,10,17,0.9921875,0.030883799998264294
Config. 8,10,18,0.9921875,0.030883799998264294
Config. 8,10,19,0.9921875,0.030883799998264294
Config. 8,10,20,0.9921875,0.030883799998264294
Config. 8,11,1,1.0,0.027672100000927458
Config. 8,11,2,1.0,0.03133450000314042
Config. 8,11,3,1.0,0.03133450000314042
Config. 8,11,4,1.0,0.03133450000314042
Config. 8,11,5,1.0,0.03133450000314042
Config. 8,11,6,1.0,0.03133450000314042
Config. 8,11,7,1.0,0.03133450000314042
Config. 8,11,8,1.0,0.03133450000314042
Config. 8,11,9,1.0,0.03133450000314042
Config. 8,11,10,1.0,0.03133450000314042
Config. 8,11,11,1.0,0.03133450000314042
Config. 8,11,12,1.0,0.03133450000314042
Config. 8,11,13,1.0,0.03133450000314042
Config. 8,11,14,1.0,0.03133450000314042
Config. 8,11,15,1.0,0.03133450000314042
Config. 8,11,16,1.0,0.03133450000314042
Config. 8,11,17,1.0,0.03133450000314042
Config. 8,11,18,1.0,0.03133450000314042
Config. 8,11,19,1.0,0.03133450000314042
Config. 8,11,20,1.0,0.03133450000314042
Config. 8,12,1,0.984375,0.02556919999915408
Config. 8,12,2,0.984375,0.02829859999837936
Config. 8,12,3,0.984375,0.02829859999837936
Config. 8,12,4,0.984375,0.02829859999837936
Config. 8,12,5,0.984375,0.02829859999837936
Config. 8,12,6,0.984375,0.02829859999837936
Config. 8,12,7,0.984375,0.02829859999837936
Config. 8,12,8,0.984375,0.02829859999837936
Config. 8,12,9,0.984375,0.02829859999837936
Config. 8,12,10,0.984375,0.02829859999837936
Config. 8,12,11,0.984375,0.02829859999837936
Config. 8,12,12,0.984375,0.02829859999837936
Config. 8,12,13,0.984375,0.02829859999837936
Config. 8,12,14,0.984375,0.02829859999837936
Config. 8,12,15,0.984375,0.02829859999837936
Config. 8,12,16,0.984375,0.02829859999837936
Config. 8,12,17,0.984375,0.02829859999837936
Config. 8,12,18,0.984375,0.02829859999837936
Config. 8,12,19,0.984375,0.02829859999837936
Config. 8,12,20,0.984375,0.02829859999837936
Config. 8,13,1,0.99609375,0.03449750000072527
Config. 8,13,2,0.99609375,0.03681930000311695
Config. 8,13,3,0.99609375,0.03681930000311695
Config. 8,13,4,0.99609375,0.03681930000311695
Config. 8,13,5,0.99609375,0.03681930000311695
Config. 8,13,6,0.99609375,0.03681930000311695
Config. 8,13,7,0.99609375,0.03681930000311695
Config. 8,13,8,0.99609375,0.03681930000311695
Config. 8,13,9,0.99609375,0.03681930000311695
Config. 8,13,10,0.99609375,0.03681930000311695
Config. 8,13,11,0.99609375,0.03681930000311695
Config. 8,13,12,0.99609375,0.03681930000311695
Config. 8,13,13,0.99609375,0.03681930000311695
Config. 8,13,14,0.99609375,0.03681930000311695
Config. 8,13,15,0.99609375,0.03681930000311695
Config. 8,13,16,0.99609375,0.03681930000311695
Config. 8,13,17,0.99609375,0.03681930000311695
Config. 8,13,18,0.99609375,0.03681930000311695
Config. 8,13,19,0.99609375,0.03681930000311695
Config. 8,13,20,0.99609375,0.03681930000311695
Config. 8,14,1,0.984375,0.022376500000973465
Config. 8,14,2,0.984375,0.02491559999907622
Config. 8,14,3,0.984375,0.02491559999907622
Config. 8,14,4,0.984375,0.02491559999907622
Config. 8,14,5,0.984375,0.02491559999907622
Config. 8,14,6,0.984375,0.02491559999907622
Config. 8,14,7,0.984375,0.02491559999907622
Config. 8,14,8,0.984375,0.02491559999907622
Config. 8,14,9,0.984375,0.02491559999907622
Config. 8,14,10,0.984375,0.02491559999907622
Config. 8,14,11,0.984375,0.02491559999907622
Config. 8,14,12,0.984375,0.02491559999907622
Config. 8,14,13,0.984375,0.02491559999907622
Config. 8,14,14,0.984375,0.02491559999907622
Config. 8,14,15,0.984375,0.02491559999907622
Config. 8,14,16,0.984375,0.02491559999907622
Config. 8,14,17,0.984375,0.02491559999907622
